Heading,Review
Awesome Phone!!,"Awesome Phone, very sleek, light in weight, has all the nice features, screen size is good. Face unlock is a breeze!!! works perfectly every time. Only downside (may be for me) is the vibration strength is a bit on the lower side, even set to the strongest, that can definitely be improved, so that we dont miss calls. Else, if you are looking for a 6inch screen and good value for money, this is the phone to buy, not required to compare with any other model at all."
Powerful and beautifully designed,"Good phone... Using from almost about a month... Extreme gaming, extreme surfing and movies.... Beautifully designed and extremely powerfull...Was expecting oroe update in December itself but seems one+ is going to take their time for that..."
Never Settle One Plus,My first one plus device. I got it on first primw day sale and review after 2 day of usage.Battery 9/10Screen 10/10Sound 9/10 (Im big fan of Dolby atmos sound missing it)Awsome gaming experience.No heating problem.Various LEDs.Fast performance.Im in love with it.Buy it if your budget is 30-40kYou wont regret.
"Worth every penny for its software, speed and battery. Dont expect too much from camera.",6gb ram model is enough.. If planning to buy 8 gb ram model then take a look at Google pixel 2. In good lighting condition photos are good. You will see the painting effect in some pics.Secondary rear camera is rarely used as it comes in action in low light scenarios.Still it is fastest device in the list.
Just wow??,"I am using this phone around a month now and I am totally amazed by its features. I bought this phone from amazon at a price of 33000 Rupees.Talking about performance, this phone has Snapdragon 835 octa core processor. Multitasking on this phone is very easy and smooth. No lagging issues are there while switching between different apps..."
Good to buy,R you looking for speedy and long battery phone?This is right for youI had one plus one and now one plus five.Very impressive performance and specs
My one plus 5T phone,"I have used other phones like Samsung, Lenovo & Motorola. But this one plus 5T stands apart from all of them. Very smooth performance. Camera is excellent. No warming up of phone even after long time use. I was deciding on to get whether iphone 7 or one plus 5T. But then my choice went to oneplus 5T. Nice phone!"
5T - T for TERRIFIC ?,Hands down it is one of the best phones of 2017..No other phone can match the performance of this device.Its suuuper FAST.. If youre looking for a new phone ? in this price range.. I would clearly recommend you to buy 5T.And pls dont call it FLAGSHIP KILLER.. It is a FLAGSHIP but at Affordable price thats all ??
Super!,"Loving this phone! Screen size is amazing, camera is great and works so smoothly. Battery seems to drain a little quickly though."
Near to perfect!,Nothing to complain after a month of use. Just one thing that I want in this phone is separate network mode for 3g and 4g. Now it has one option ie 2g/3g/4g. Otherwise its a perfect phone. It will defenitely make you happy. Buy with confidence.
One word - Awesome,"This is a real good phone. Have been using it for 5 weeks, and its been very pleasing so far. The feel is very premium. Picture clarity, sound quality, speed, smart features, camera - everything is a wow. Couple it with a black flip cover and the look is an absolute class. Per se, One Plus product is known to sustain its performance over its entire life span. And also, dont forget to buy the insurance, lest you might regret your handling damages (I am quite prone to dropping my SPs). And dont forget to order it from Amazon."
Four Stars,"Good for the money. However, nothing exceptional about the camera. Was expecting a better quality"
... waiting for LG V30+ to be launched but Im happy that i bought one plus,"It has been 2 months that Im using one plus 5T although i was waiting for LG V30+ to be launched but Im happy that i bought one plus, its really a value for money which a buyer look for.If anyone having a budget b/w 33-38k then its suggestion that dont see here and there just go for one plus 5t.Thanks Amazon."
Go for it.,Superb.Awesome camera.Faster than iPhone x.Good to watch videos.Better buy 8gb ram model.I recommend all to buy this one if you are looking for premium phones under 40k.
The best phone I have ever used,Best performanceBest cameraBest viewFace unlockFastest unlockingMax customisation.Better to buy two OnePlus 5t than iPhone xI cant describe in words.Simply impeccable
Every thing about phone is good except camera,Every thing about phone is good except camera. Dust is entering in to the camera and quality of the camera is also not good performance of the phone is fabulous still display and speaker need to upgraded.
Awesome Delivery was early Product is top notch nd the ...,AwesomeDelivery was earlyProduct is top notch nd the lava red is awesomeAfter using 8 days Oh man its fast as bullet....Camera is a charm and no glitches till now and I m confident about the future also... Just waiting for the Oreo update...
The best iPhone alternate!!! Quality Personified.,"The best phone purchased (obviously). I can hardly believe that these specs and build quality are available at this price (although not as affordable as other alternatives), given that other flagships slap on a ton of addon features and charge 2x to 3x the price. Camera Low Light Performance still sucks though."
Overall a Great Buy!!,I received it within 24 hours. Been using it since 2 days and till now the only thing let me down a bit is Camera as it is not what I expected but still pretty good. If you talk about the performance then this phone is a beast and electric fast. Overall a great Buy!!
my first impression is its a awesome phone.,"I was using one plus 5, n I upgraded to 5T, using this phone since last one week, my first impression is its a awesome phone..Prose: beautiful design, battery backup, super fast, smooth ui, thin, cameraCons: front camera should have been slightly betterShould be basselless borders"
... buy iphone first After spending one week searching for best phone I finally bought one plus 5t Its a ...,Very smooth phoneI wanted to buy iphone firstAfter spending one week searching for best phoneI finally bought one plus 5tIts a well budgeted phone i guessVery good features comparable to i phone and even moreGuys go for itNo exaggeration at allYou will not regret it
Must buy,If you are not a blind follower of Apple... this phone is just for you. Everyone knows the crazy specs this beast has so m not gonna pin point there. Just adding my experience here as i came from ine olus 5 to one pkus 5t. It has everything thing from smooth processor to great camera. Near to stock android experience due to Oxygen OS makes it more wonderful. After using the Oxygen OS you might not want to go back to company OEM skins such as those of Samsung Oppo vivo.Hands down the best phone to buy below 50k.
"Nice display, 18","1. Nice display, 18:9 is definately better.2. Camera is getting better with every software update (I will take it positively ??).3. Processor, RAM, ROM is beast as displayed.4. Process handling needs to be optimised but it didnt really effect this beast.5. FaceID is really fast and incredible."
Early Delivery & Excellent Packaging,Everything is just perfect inside out from box to phone as well as the accessories. Just Excellent. Partnership between OnePlus and Amazon should continue in future for best Delivery and excellent goods.
One plus 5t is the best.,Amazon you are superb.. thats why I am your prime member and buy everything from this site. Almost everything. One plus 5t is something like a piece of heaven. Excellent phone to have for daily usage with brand name like one plus
Battery work half day only!!!!!!! with no games and no heavy application,"I am happy with the delivery and phone really works well.Switching to one application to another, camera performance, sound quality, and above all for its charging time is really less.But I am concerned about its battery performance.I use this phone for calling and little bit internet surfing and for the whole day I put it on stand bystill not working more than a day, it works only half day. Anyone else also faced battery draining issue and any resolution for it?? Please suggest!!!"
Awesome phone. Its a power horse,Awesome phone. Its a power horse. Flagship for real. No issues with the phone.I didnt get the HDFC cash-back. Amazon has promised that they will process the cash back by 3rd of Feb. waiting for it.
Good phone,Been 20 days since I am using one plus 5T.Looks gr8Both front and back cameras are goodFinger print unlock is super fastOverall performance is excellent.The only negative is that finger print unlock is at the back side of the phone. Very inconvenient.Overall happy with the phone.
WooooooooooooW,"No Words....Just Awesome !!!Perfection at its best :-)My first OnePlus phone...Man...they nailed it.The best user experience in all department , be it camera, performance, battery etc.- Thumbs Up !!No second thoughts...Just go for it."
OnePlus really hitting target msrket with best in class product,"This is my 3rd used and 6th in series purchased ....OnePlus really hitting target msrket with best in class product ... (OnePlus 2 is only exception ?)Suggestion : u have to also re launch OnePlus X with inifinty display, this will be a very big hit too.Keep up guys."
Amazingly beautiful piece of technology,"This phone have everything in it, it beats iPhone and Samsung and other crap out there, seriously this phone flies like a jet, the camera ?, the screen, the speed, dash charging, 3300mah battery, when I say it flies it mean it flies."
Slim and sleek machine,Good performance oriented phone. Writing the review after 4 weeks of usage. No lag and hesitation even to open heavy graphic oriented game apps. Finger print sensor and ambient light sensor are most liked. Battery lasts one complete day with extensive usage.
Phenomenal Gadget,Thanks to one plus and Amazon team for this phone. Awesome features with super fast RAM and processor. Great phone within this budget. Dont know why people invest 100k on iPhone x they should buy this phone which cost them less than half with allmost same features. Thanks one plus foe this great product.
Best anroid phone in market,"The best anroid phone, no lagging issues, fair battery backup, no hanging issue. I have been using this phone almost 3 weeks now.128 gb gives sufficient storage, dash chargers helps in quick charging of phone...Previously using iPhone 7.Value for money"
Mobile is good but at the time of call microphone is not ...,Mobile is good but at the time of call microphone is not that much working reciver cant listen my voice
I love this phone love you 5t,Its beautiful and very good device from 1+
Absolutely Amazing!,"This is coming from a pre Redmi Note 3 user. Everything about the phone is mind blowing. Right from how light in weight the phone is, to the Anodized aluminium back to the beautiful 18:9 display. After seeing the Dash Charge in action , I cant imagine life without it. Best thing to spend money on!"
Big fan oneplus5t,One plus 5T is just amazing latest smart phone. I received my order just last week still exploring its amazing features. Speed excellent. Multitasking is really very good. Battery life too good even after whole day use.camera very good in low light. Video recording just superb. Big fan of one plus just amazing....
Perfect?worthy?5 star?value for money,I think this ph is perfect guys! I really like it but i would recommend 128gb variant instead of 64gb if your pocket allow. Dont think twice guys if you are thinking to buy smartphone just go for this..this is a perfect device and worthy.
Best phone in this price!!,"I have been using this phone for a week now, i have to say that if you are looking for a phone like iphone x or samsung galaxy s8 in less price, go for this phone."
Its a good buy.,"Its a very good product, been a OnePlus customer since 2015. Camera is quite good, screen and display calibration is very good. Performance is fast and snappy. Its a good phone for the price point. Amazon took a lot of time to deliver the product, very dissatisfied with there delivery scheduled."
Superb phone and thanks amazon.,"Superb phone... camera performance is out of expectation, speed, long battery life, fast charging ie dash charging is too fast to get full charge everything is excellent and i highly recommend this phone for this price.. and thanks amazon for such quick, giving good opportunitis to us and well being services."
Complete all rounder,Best phone at this price . No match for the battery and performance . Camera is a trade off . But its worth everything else . A complete all rounder than iPhone x and galaxy s8 .  pixel 2 has an edge in the camera and stock android segment . But I would recommend for everyone for this price
Awesome mobile. I switched from IOS to android and ...,"Awesome mobile. I switched from IOS to android and this is the first time Iam using android. But Im completely and fully satisfied with the performance. The best part of the phone is Dash charging, Camera and Face detection.OnePlus 5T (Midnight Black 8GB RAM + 128GB memory)"
Awesome phone,"Very good phone, all features working. But I noticed on the box that it is manufactured by oppo mobiles."
Mobile phones cannot get better than this,Can I not give a star more... Super product... The last I was this happy with a phone was when I got my Note2... The user experience is out of the world and the battery lasts me more than. Dy and half on a hour long charging... Thanks Amazon for bringing it and delivering it to me
this is one of the best android phones out there,"As youll probably have read, this is one of the best android phones out there. Coupled with the OxygenOS, youll definitely be a satisfied customer. The camera needs some work, but I dont see that as being a limitation you cant fix with a software update. Overall, a pretty good and economical deal."
Very good product. But..,Its a very good mobile phone. Fast and good screen. Design is elegant. But.. the sound quality is poor for both inbuilt speaker and WiFi speaker. Ive installed Dolby program but didnt change much. I hope this will be improved soon.
Go get it,"Phone on point and amazon delivery on point. Front ceramic is excellent for selfies and stablized video. Phone is fast af.Get this , dont think much."
I have faced contacts linking issue wic was sorted by ...,I have faced contacts linking issue wic was sorted by support in 48 hours. New issue is not able to receive any calls on my handset. Awaiting solution
Value for money (A product for customer delight),"Fully loaded smartphone.Camera 10/10 (Specially slow motion video recording),performance 10/10,features & customisation of Oxygen OS is awesome.18:9 ratio screen is beautiful.Most importantly 5T is my first smartphone giving me battery backup of more than 28 hours."
Best phone in android.,"Amazing phone, amazing quality. This is what you want to buy to get reasonably priced android phone in Apple (iPhone) made quality and styling.Best of both the worlds."
AWESOME !!!,"AWESOME is one word to describe the phone.I have been using OnePlus One since three years , so purchased it and it kept my word. OnePlus perfect in all ways. worth to every rupee spend on this"
Go for it instead of other upper mid range phones...,Awesome phone in this budget...so far the phone is fantastically working and Amazon delivers it within 5 working days(Non primers).If going for upper middle range phones like iPhones.... at least give it a try and u will b astonished not only satisfied....??
Best bang for buck,Best bang for buck...Amazon did a great job by delivering this awesome product.Superb build quality.Awesome display.DND and gaming modes.Simple and efficient Oxygen OS.Dash charge.And Face Unlock.The best phone after a long time.
This is the awesome product that I bought,"This is the awesome product that I bought. Trust me. premium product is premium. I used all mid range phones like Redmi Note 4, moto g5, LG Q6,My definition of smart phone is changed after using this. Its worth to have. Its like playing with professional bat comparing with cheap quality one."
BEAST,"This phone is a Beast amongst all smartphone in this category. Performance, camera, build quality, sound output everything is perfect. I recommend this to all ppl who are looking for a smartphone in this budget. OnePlus rocks... ?"
Great mobile,Best low light picture quality
Has to be the best Android phone out there,"The best thing about the phone is the stock Android experience which doesnt lag during any task. Cameras are good, looks elegant, runs smoothly. I guess thats pretty much anyone wants, so go for it without thinking."
The phone is just awesome and the working very fine,I received the order 1 day early. The phone is just awesome and the working very fine. Its worth every penny you spend on it. Probably the best phone that i have ever used.
Superb Phone at great price,"Excellent camera, super fast processer, excellent screen resolution, colours and clarity. Very light weight phone. Internet browsing in very fast, speakers are good..... Excellent phone to purchase at 33k price.....One Plus has done a fantastic job"
Super,"Simply brilliant. Display is great, performance even better but what I like the most is the dash charge, especially given I am upgrading from OnePlus one. Wish they had bundled a better quality case with it, the curret one catches smudges like a magnet. But surely a flagship killer at less than half of what a lesser specced, unnecessarily hyped premium phone costs."
"Best phone, I have ever used till now","Best phone , I have ever used till now.To fast in processing, camera is awesome, battery lightening charging. What else you can expect out of this phone.mow onwards one plus will be my choice when it comes to mobile.dont even think twice if u r planning to buy."
The BEST phone out there!!!,"True value for money if u want a premium smartphone at this price!!!Its fast, responsive and the camera is too good.Facial unlock is just wow and unlocks the device very quickly.Dash charge is a blessing and u have a days long battery within no time."
One plus 5t and note 8 are awesome and I have both,"I have a note 8 deep sea blue 128gb, but my star wars one plus 5t is awesome as well."
Go for it.. Happy clicking !!,"Feedback in A.in way.. really liked the customer obsession as it got delivered before estimated date. Buying this phone is such a great experience especially camera n interface , didnt like the face recognition for unlocking phone as it sometimes wont work. With the dash charger , the phone will get charge in an hr around.. fabulous tech exp it iss!! Amazing phone in this price range..Go for it !!"
Awesomeness in a sexy package!,"Wow. Just plain and simple.. wow! Had a one plus X before this, bought the 5t on exchange and man oh man am I floored by the performance and capabilities of this phone. The camera especially is amazing, much better than the 3t"
Powerful and elegant,Moved from iPhone to one plus . Was bit apprehensive in the beginning but now I have started to like it . Battery backup is way better than iPhone and easily lasts a day . Camera is awesome and outdoor shots are equivalent to any mid level DSLR. Overall happy so far .
One of the best Android phones ever,"One of the best Android phones ever! Got the phone on 22nd Nov n it is simply amazing! The look, UI, oxygen OS....everything is just amazing! A must buy for all those who want a less bezel phone! The screen is amazing??????"
This is a brilliant phone. Its got a fast processor,"This is a brilliant phone. Its got a fast processor, has an excellent camera (even in low light) and has a good screen. Its a little big though; difficult (not impossible) for me to operate with one hand."
Unbelievably FAST!!,The best smartphone for more years to come!! Trust me guys.. this on is worth every penny.. you all will be shocking to see it perform and the features will blow youn the quality even in the packing is sublime. Also note the DASH CHARGING is extremely fast!!
Battery back up is just amazing..,Just loving it... Battery back up is just amazing... Did not get stuck in any app so the processor and RAM works like a wonder. I only found one problem thats with the full page screen shot feature. Except that the phone is worth every penny.
Good in looking but outstanding in performance that one can ...,Good in looking but outstanding in performance that one can expect with the market higher end  latest snapdragon 835 processor with 8 GB RAM
Very Good mobile. I afraid about bad reviews,"Very Good mobile .I afraid about bad reviews .but I received a good product .better battery, good camera,awesome performance ????????"
"excellent phone, camera could have been little better","excellent phone, camera could have been little better, battery life is excellent and so is charging time very less. i have s8plus and 1plus 5t. i like 1plus 5t for ite performance and battery life, rest all is best on s8 plus 128gb wala version"
Best buy at this price.,Finally got this product.Value for money. Battery performance is superb and best dash charging just take half an hour to charged the phone.quick unlock whether Face unlock or fingerprint unlock just within a sec.simply awesome phone....go for it.
As smooth as butter.,"As smooth as butter. Couldnt get better. !80 apps, no lags, seamlessly multitasking, no problems whatsoever.Not only the back cameras, but even the front camera is awesome. Its too good. Truly a flagship. Proud to have the best android phone in hands."
good product in suffice price range,"Well, good product in suffice price range.. Camera quality is awesome.. if youre selfie lover -- get this phone. as camera quality is great when compare with other high brand model.. Battery Life is great.. You can use 4g and watch videos for 8+ hours.. dash charge is good. could recharge rapidly 40% in 15 minutes in your device... Go with it.. dont hesitate to get this"
like the dash charging,"like the dash charging, butter smooth operations, face and fingerprint sensors really good.only downside is its weather app is slow to update real time temperature."
Fantastic Product,This phone is very fastSuper camera qualityPocket comfortable phoneAwesome look
"Love it, best phone oneplus 5t.","I think without using this phone you never feel like you have excellent phone at the present time and upcoming 2-3 years Im sure no phone will be come to beat oneplus 5t. Amazing phone, camera is outstanding, running flawless. Everything perfect."
So far its good. I purchased it mainly for the camera & ...,So far its good. I purchased it mainly for the camera & the reading mode.Although the photo quality is not anywhere close to Iphone X or Samsung S8+.
It was wonderful experience with,"It was wonderful experience with...I also would like to tell OPO friend that I have pleased to have this device. Go for it .. past 15 days experience only camera which can be lil more better .. which I guess sorted in next update,....."
One of the best phones I have used till date,One of the best phones I have used till date. Works flawlessly and has great specs. Could have had better sound system and the camera shows white spots against light sometime. Therefore not a 5 star for me.
Simply Awsome!,"I was in a dilemma to purchase this phone as I wanted a buy this time a flagship phone. If you still thinking to have any other, just go for this. Camera, Screen Look and fill you cant compare with other. Only one word I can say is simply awsome."
Awesome piece of work,"This is my 1st one plus. It seems to be a right decision. Major highlights are as follows,1.  Class design.2. Dash charge works great.3. phone is a beast in terms of performance.4. Optimize battery brilliantly.5. Looks so delicate, you need to handle with care.But so happy with the product.All the best !!"
Beast!! Best!!,Best performance. Awesome camera. Great design. Fast fingerprint scanner and face unlock. Dash charging is just marvelous. Edge to edge display is great to watch. Go for it. I would say this ones the best phone someone could get at this price.
silky smooth performance Out of 5 Bulid_5 Performance_5 Looks_4 Reliability_5 Camera_good but not top notch Display _4(good but not good as Samsung display which is over saturated),Different Android experience .... silky smooth performanceOut of 5Bulid_5Performance_5Looks_4Reliability_5Camera_good but not top notchDisplay _4(good but not good as Samsung display which is over saturated)
Extended warranty codes,Excellent phone...Im loving it...Kindly apply below codes while buying the oneplus 5t before 20/02/2018 for extended warranty of 3 months...Coupon code for use on purchase of OnePlus 5T (Midnight Black 6GB RAM + 64GB memory): 65JT-87FV3P-E5G79BCoupon code for use on purchase of OnePlus 5T (Midnight Black 8GB RAM + 128GB memory): FZNM-BF3FBN-P5KP9T
"Amazing phone, and pretty happy with overall performance","Amazing phone, and pretty happy with overall performance.Just one thing which I observed is that sometimes videos downloaded from whatsapp get stuck while we open them in the gallery.Otherwise 5/5.Keep up the great job guys !!"
Simply awesome.. Worth for every penny,"Simply awesome.. Worth for every penny..Great specifications, screen, camera..@oneplus team please provide customize camera app suitable for camera with some more good/advance feature like provided by other manufacturers.?"
this is by far the best phone I have ever used,"Dear Amazon Team.  I bought this Phone last December. I would say, this is by far  the best phone I have ever used.Sad : My phone got in to water accidentally , phone is working fine except the Camera lenses. Both front and back camera lenses are with water :(  I dont know what to do now. Please help me."
One of the best phone Ive ever had,"One of the best phone Ive ever had. I was very tense that the idea of spending 38,000 on a phone is good or not but Im not at all dissapointed. Outstanding feautures, superb built quality and camera is just amazinggg!! Worth buying"
Flagship killer is back!,Hands down the best phone of 2017. Progress of one plus is commendable. Keep up the good work guys.
Nice phone but dont expect brilliant camera,"Good phone..Pros.Performance, software, built quality, looks, displayCons.No optical zoomingNo wide angle lense on either sideNo optical image stabilizationThough it works great in day light"
AMOLED screen is awesome. Face unlock so fast,AMOLED screen is awesome. Face unlock so fast. Waiting for Oreo update. Right now it is Nouget 7.1.1.Good Performance with basic apps. Not tested with games. Big DashCharger charges mobile from 0 to 100% in an hour.
T for Terrific!,The Product was delivered in 3 days by Amazon.Ordered the 8G version and really happy with the performance so far. The dash charge is really very useful and works as expected.Finger print and face unlock is blazingly fast.
Super value for money,"Super value for money . The best flagship killer phone .PROS :- Awesome Display , Killer Looks , Super Awesome Sound via speakers , Fake Scanner Rocks and interface is buttery smooth and super dash charger is charging my phone from 10% to 80% in 30 mins. ONLYCons :- Battery backup is average BUT it will easily last through complete one working day."
Flagship Killer,The Best Phone Ever For Except a few issues as I play Modern Combat 5 It crashes and the back cover gets scratched easily and oppo is good to give a case and if it gave a otg cable it would be good
OnePlus 5T. No doubt would make your feel head ...,OnePlus 5T.No doubt would make your feel head over heals about its Specs and highly crafted design. However i was delivered the device a little late by Amazon that little upset me .Overall Appreciated OP 5T. #Never settle.
"Best product, but poor packaging.","This phone is recommended everyone whose budget is under 35k as its having top notch specification by todays date. however packaging done by amazone was very poor, I am giving it 5 star just bcz of product only. loved the product."
Budget Flagship of the Year 2017!,"If you want a phone that will give you the features and performance of a premium flagship but in a budget, this is the perfect phone! Ive been loving it. Its actually faster than my dads S8+. Definitely recommend this to anyone and everyone!"
AAP,"Absolutely Amazing Phone.,It takes a minimum time to get charged and ready for you to rock all the day unstoppable.,One couldnt ask for more(good performance, great camera, untanned Android)for  phone with this price range., Kudos Onplus.,"
Faster than S8,Used s8 for a while before switching to 5t.. This device definitely beats it in raw speed and outdoor camera shots. Considering the price I think its a no brainer over any other flag ship in the market now.
The best evr phone you can find in the market in ...,The best evr phone you can find in the market in this price range. Get the high and top featured.
The perfect phone,One of the best Android phone which has all the features and almost half of the price as compare to other flagship phones.
Best of the Beast....!!!,Excellent phone for this price point... Better than all costly flagship phone in market which priced for only brand name...
Most powerful and The monster phone OnePlus 5t,What a phone it’s The best and amazing speed never seen androids phones works like lightning... I must say u won’t regret after buying it
Superb phone,"Superb and very nice phone , if dedicated memory card slot given then this is a un beatble one"
?Beast flagship killer?,What a marvelous phone from OnePlusCamera quality is up to the markNo issues till now it is a beast?
Awesome mobile,Nice one fast processor camera is good in low light conditions. Display was excellent high rated one. Battery lasts almost one day even with jio. Thanks to one plus team for creating a high range mobile at mid range price.
Best Phone in Rs.33000/- Price Segment !!!!,Good Phone with one of the Best Flagship feautures in this price segment... Believe me it can give all the top end Galaxy Phones a tough competition and surpass them also in some aspects with its 6gb/8gm Ram
Awsome phone guys looking too good n specifications r very intresting Thanks to Amazon 11dec ...,Awsome phone guys looking too good n specifications r very intrestingThanks to Amazon11dec at 7 pm i order this phone n today (15dec) at 9 am i will get it very fast deliveryIts a great deal with Amazon ?
Best in the segment,"Great design, although a tad bit unoriginal. Snappy fast performance, thanks to the RAM overkill. Amazing customizability of OnePlus Oxygen OS. They also throw in a pretty good free transparent silicone case. The best option in this segment."
Five Stars,Too awesome phone. Very fast response and photo quality is also at par. Face recognition works like magic. Its the Best Buy under 35k budget. Loved the looks ?
Grab it now!!,the phone is really great.. it may not be flagship killer but yess at this price it is giving all required for top phones to have. super battery..really super fast charging..good camera and 8GB RAM is best feature of the phone!
Superb phone,Superb phone with grt features and best camera quality and a very slim look with full hd screen
Truly Never Settle,Love the speed. Felt the difference of enhanced technology right away.
Best Android phone .....,"I am using this phone now for more than 2 weeks and according to me this is the best Android phone considering the price at which it comes, I am using 6 GB RAM variant which I think is sufficient enough. The camera quality is very very good"
"Awesome is now , excellent after update","Awesome phone till date need some software updates like automatic dnd at sepcific time and call swiping at user desired way, call recorded should be folder wise of same no & should have option to exclude some contacts from call recording ,etc"
Amazing,"I am just loving it.. Sleek, beautiful big display, flawless, super fast charging, camera, face unlock etc etc it was worth the wait.. If only one plus gave earphones with the phone.. It would have been a perfect deal. Overall value for money."
Beauty with the beast,Great phone.Awesome looks and screen. Easy to hold and operate.And nothing to say for performance as everyone knows what this beast is all about.
Mind blowing. OnePlus <3,There should be a default category for this as in marvellousShould have No other option.Very very smooth. Camera is mindblowing.OS is as smooth as knife cutting a butter
Stunning Camera... checkout my uploads,Best flagship....best Android phone you can buy under 50k
Truely Outstanding beast..!!,"A beautiful phone with all the qualities required for an individual. Everything in it Ram, storage, camera, smoothness all functions operation. most of it battery life..!!I loved it value for money phone it is best buy..!!"
Best mobile under 35k,Pros1. Great performance2. Dash charging charges 0 to 100 in less than 40 minutes3. Portrait photos are simply awesome4. Fingerprint scanner is fastCons1.Face id is not upto the mark during night times
AMAZED,I AM SATISFIED WITH THIS  BEAST FASTEST FONE EVER I USED  DAMN TOTALY AMAZING  THIS IS FOR THOSE WHO NEED PERFORMANCE .  HEAVY DUTY FONE  BATTRY CHARGING IS TOO GOOD TOO GOOD DASH CHARGING.GUYS GO  FOR IT INSTEAD OF WASTING MONEY
ONEPLUS 5T FOR GREAT VALUE FOR MONEY.,Very nice mobile. I proudly suggest to buy one plus 5t for those who are looking to buy a new one.  I am using one plus 5t with greatest performance.
I think this is the great invention of this planet,I think this is the great invention of this planet...Wow what a thinkingBhai ghazab haiMajaa a Gaya
Awesome phone at this budget.,Good response for the face and fkinger print recognition. Faster compared to other brands.Very good performance with battery life and speed of processor.
Very good phone in this range,"Amazing phone with good battery life. the face recognition is also pretty good. The only problem is its face recognition is not as secured as iphone. Even if a person shuts the eyes, face recognition will still unlock the device."
Tailor made for Indian consumers and the price sensitive Indian ...,Tailor made for Indian consumers and the price sensitive Indian mindset. Worth every rupee. Period. Go grab one before it runs off the shelf.
Value for money,"Must buy phoneBest camera,Best battery backup,Super display,Great ram management,Value for money....."
Totally worth your money,"Overall an amazing phone. The camera quality is very good, processing speed is very good as was expected with an 8GB of RAM. Its a great phone in premium category while the prices are still quite less than other premium category phones."
Better then 3t in ways,"This is my 2nd oneplus phone and gezz these two have been the better phones i have used, the seamless oxygen os along a powerful hardware are a treat to come by together and that to at a pocket friendly price."
The beast.,"An amazing product from OnePlus again. Very optimised OS, good battery life. I upgraded to 5T from 3T and i can see the significance difference from both the camera, charging speed, battery backup n auto brightness display under sun."
Awestruck.,"Superb phone. Extremely smooth. And the face unlock, camera, charging, and other features seem Godly!!"
Its a must buy product and would recommend to everyone,Its been 3 weeks that I have purchased and using One plus 5T. I must say its a value for money product. This phone is working in a lighting speed without even a single glitch. Its a must buy product and would recommend to everyone
Good but Flaws,"Really good built quality and premium feel dis one plus device has one of d best displays out there,having an 835 chipset underhood Gta Sanandreas still keep on Crashing again and again DONT know why. Rest is Good"
"Just buy it. Excellent phone, great battery life, nice camera and fully loaded with all the features","Excellent phone. Nice display, sleek body, 2 days of battery life, speedy response time, face unlock works like a charm, excellent camera with features like portrait mode (like DLSR), time-lapse and slow motion. I love it!"
amazing....awsm.... fantastic....,i was using one plus 3 since then i got addicted to one plus....well thr r countless reasons...most imp is the interface of one plus 5 T and cam quality...thy r amazing ....guys...go for it n ur every penny wil hve justice...
Best android phone ever used!,"Best android phone ever used! Dropped iphone 7 after using oneplus 5T. My android phone experience was very bad because of some samsung devices but after using 5T, I stopped using my iphone 7. ""Camera is too good""."
Five Stars,Excellent product. Looks nice. Cool mobile.
Awesome...!!!,No cons... I just love this phn... After using one week  I havent found any issues... Dash charging is simply superb... Till now no heat at all.. u can go blindly... It is a budget friendly option....
Just buy it .,Unbelievably fast . Didnt know Android could run this fast.Camera is good. Amazing battery .Second best Android phone right now. Best being pixel 2 .
Awesome sandstone finish by onePlus,Awesome product from OnePlus again....love the sandstone finish. Now it’s got better grip.And thanks to amazon for the super fast delivery
Never settle for anything less!,Best Android phone ever used. Dash charging is way better than Quick Charge technology.
The best got better,"In one word,it could be described as ""flawless"". A perfect at more than reasonable price.Goit it for 31498 on the launch day.Everything is top notch here: Camera, Battery and Performance. 5 stars"
Amazing device for the price you are paying for it,Amazing device for the price you are paying for it. Premium phone at the best price. Camera is not bad as the reviews you might have seen in YouTube. Extremely smooth in navigating the phone. Loving the new 18:9 display.
Phone is okay.. has issues with speaker. ...,Phone is okay..has issues with speaker .broken sound and jarring noise comes wen playing any music..but v.smooth facial recognition feature and superb camera..waiting for Oreo update
would recommend it to everyone as its a flagship killer in ...,One plus has not left any stone unturned to make this beauty.....would recommend it to everyone as its a flagship killer in each and every aspect......
Powerfully Radiant ??,Damnnn good phone and that color tho  ??. It gives that premium feel placed at the right price with all great features and exceptionally good camera. The dash charge is best feature and is really really fast ?
Next Level,Awesome phone with amazing specs. Flagship hardware and software at reasonable price. Highly recommended
I think it is one of the best phone available out in the market and the camera ...,I think it is one of the best phone available out in the market and the camera is really good for a person who likes to click pictures as well as for those who like to click selfies. Great in specs and awesome in all the ways.
Beast of a Phone,"Everything is just perfect with this phone starting from the bezels to the battery , just stunning. Hopefully OnePlus and Amazon keep up this brilliant partnership and deliver goods like this in the future too."
Truly a beast,If your r fed up by classic smart phone go for this beast. Its super fast and cool. Very handy can be operated with one hand. Slim like you wont feel its presence in pockets. Truly a beast. Osum phone go for it you wont be disappointed and Rocketcommerce Vendor has delivered through Amazon a nice packed piece.
Coupon codes,Pls use codesAnyone need oneplus Referral code  ?Please use thisCoupon code for use on purchase of OnePlus 5T (Midnight Black 6GB RAM + 64GB memory): 65F5-4SJBA5-XBZUNECoupon code for use on purchase of OnePlus 5T (Midnight Black 8GB RAM + 128GB memory): FZYR-LSL5PN-AFGBKC
